participantID,modelType,fittedParams,AIC,BIC,logLikelihood,n_conditions,delta_AIC
dt,gaussian_contextualPrior,"[0.24999992795294473, 0.11273567083143687, 0.23035922405994363, 0.4927567206601538, 0.27793379252121664, 0.18062484251919386, 0.16964464624256265, 0.988419439819579]",2550.685233874025,2583.433792034386,-1267.3426169370125,443,1.1984190850967025
oy,gaussian_sharedPrior,"[0.12308930158615113, 0.14295337796211238, 0.4383295226097107, 0.9987698292434216, 0.1986233520507813, 0.12557230293750762, 0.15894559174776077]",2337.978295953388,2369.5709067297744,-1161.989147976694,674,10.457084952857713
oy,logLinearMismatch_sharedPrior,"[0.10060624757379628, 0.27864982843770125, 0.8897585590980452, 0.9615727436767517, 0.38115527432237284, 0.11058047751967023, 0.15981668159720358]",2328.7658788476087,2360.358489623995,-1157.3829394238044,674,1.24466784707829
oy,lognorm_contextualPrior,"[0.08018575164015793, 0.2874007381091955, 0.7725047266383889, 0.17143969907583118, 0.4164706354965733, 0.07745594623606138, 0.1337604434315626, 0.9965566688731606]",2328.8497450882423,2364.955585975541,-1156.4248725441212,674,1.328534087711887
oy,lognorm_sharedPrior,"[0.07729716078353022, 0.2842735608532394, 0.9455091825498267, 0.9999462485879687, 0.40781913387738317, 0.11699240564868205, 0.15360234693796998]",2327.5212110005305,2359.1138217769167,-1156.7606055002652,674,0.0
oy,gaussian_contextualPrior,"[0.14532016977843795, 0.12992313080509743, 0.3561345452652739, 0.09190757763483925, 0.18725384971991843, 0.1369333601559603, 0.18052040623159088, 0.9897313880737488]",2341.405243116312,2377.5110840036104,-1162.702621558156,674,13.884032115781338
oy,logLinearMismatch_contextualPrior,"[0.07444109437574298, 0.3075415780540424, 0.9373682531340818, 0.0011942064424620424, 0.4028701543726493, 0.08164340877319773, 0.10374674961913115, 0.5138143899526287]",2327.540053994517,2363.645894881816,-1155.7700269972586,674,0.01884299398670919
qs,logLinearMismatch_sharedPrior,"[0.052593416454215, 0.21522231815015402, 0.8996576332726546, 0.30278172969888717, 0.6382470994557662, 0.08958624273357145, 0.21228091097470952]",2495.5617159811054,2524.8795648426835,-1240.7808579905527,487,0.0
qs,lognorm_contextualPrior,"[0.0593391828238964, 0.2289404061436653, 0.684689797759056, 0.5025329270213842, 0.7136394667625428, 0.08536486886441708, 0.17320178002119063, 0.2779048166960478]",2499.8291020551587,2533.3352150398196,-1241.9145510275794,487,4.26738607405332
qs,gaussian_contextualPrior,"[0.09581598624417893, 0.10000009387247699, 0.2705713765084874, 0.6142678204472409, 0.28697597445221623, 0.18178955008443154, 0.25, 0.33889868249596544]",2525.619713656928,2559.125826641589,-1254.809856828464,487,30.057997675822662
