,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
479,0.49958,0.1,1,0.39966,0.24979,0.6328,479,2.0899,-0.39,-0.1915,0.30807,5,1D2U,2.0,True,0.299,51,True,right,-0.44962,0.288,0.8127,0.5248,1.5632,1.8295,0.2663,A,0.22
480,0.49958,1.2,1,0.46627,0.60782,0.95752,480,2.85591,-0.35,-0.17485,0.32472,5,1D2U,2.0,True,1.141,52,True,right,0.44962,0.3645,0.8895,0.525,1.5229,2.6728,1.1499,A,0.2
481,0.49958,1.2,2,0.38301,0.30807,0.67443,481,2.48956,0.25,0.12489,0.62447,5,2D1U,2.0,True,0.284,62,False,right,-0.44962,1.3319,2.1569,0.825,0.5077,0.7571,0.2494,A,0.2
482,0.49958,0.1,2,0.29975,0.41631,0.69108,482,2.23144,-0.35,-0.17485,0.32472,5,1D2U,1.0,True,0.616,52,True,left,0.44962,1.7138,2.2551,0.5413,999,1.1305,-997.8695,A,0.22
483,0.49958,0.1,1,0.39966,0.39966,0.86593,483,2.77265,0.21,0.10824,0.60782,5,2D1U,1.0,True,0.466,63,True,left,-0.44962,0.2882,1.1131,0.8249,2.097,2.363,0.2661,A,0.22
484,0.49958,1.2,2,0.33305,0.36636,1.20731,484,2.74768,-0.31,-0.1582,0.34138,5,1D2U,1.0,True,0.473,52,False,left,0.44962,2.2622,2.8124,0.5502,0.0073,1.1538,1.1465,A,0.2
485,0.49958,1.2,1,0.29142,0.26644,0.48292,485,1.88174,-0.31,-0.1582,0.34138,5,1D2U,1.0,False,0.675,52,False,left,-0.44962,0.1936,0.7357,0.5421,1.3439,1.5938,0.25,A,0.2
486,0.49958,0.1,1,0.35803,0.40799,0.59117,486,2.46459,0.21,0.10824,0.60782,5,2D1U,1.0,True,0.657,63,True,left,0.44962,0.251,1.0766,0.8256,1.3344,2.5012,1.1667,A,0.22
487,0.49958,0.1,2,0.43297,0.39134,0.78267,487,2.43128,-0.35,-0.17485,0.32472,5,1D2U,1.0,True,0.439,53,True,left,-0.44962,1.4945,2.036,0.5415,0.5527,0.8194,0.2667,A,0.22
488,0.49958,1.2,1,0.53288,0.3497,0.65778,488,2.62278,0.17,0.08326,0.58284,5,2D1U,2.0,False,0.758,63,False,right,0.44962,0.4303,1.2134,0.7831,1.5471,2.6971,1.1501,A,0.2
489,0.49958,1.2,1,0.3164,0.40799,0.59949,489,2.43128,0.21,0.10824,0.60782,5,2D1U,1.0,True,0.115,64,True,left,-0.44962,0.212,1.0208,0.8089,1.7455,1.9955,0.25,A,0.2
490,0.49958,0.1,1,0.39966,0.44129,0.62447,490,2.28972,-0.35,-0.17485,0.32472,5,1D2U,2.0,True,0.566,53,True,right,0.44962,0.2913,0.8331,0.5418,1.125,2.2913,1.1663,A,0.22
491,0.49958,0.1,2,0.24146,0.25811,0.88259,491,2.48956,0.21,0.10824,0.60782,5,2D1U,2.0,True,0.516,64,True,right,-0.44962,1.396,2.2213,0.8253,0.3549,0.6211,0.2662,A,0.22
492,0.49958,1.2,1,0.44129,0.48292,1.23229,492,3.23892,0.17,0.08326,0.58284,5,2D1U,2.0,False,0.224,65,True,right,0.44962,0.3373,1.1203,0.783,2.0287,3.1789,1.1503,A,0.2
493,0.49958,1.2,1,0.28309,0.44129,0.45795,493,2.02329,-0.31,-0.1582,0.34138,5,1D2U,1.0,False,0.363,54,True,left,-0.44962,0.1814,0.7229,0.5415,1.3063,1.5562,0.2499,A,0.2
494,0.49958,0.1,2,0.65778,0.36636,0.70773,494,2.55617,-0.35,-0.17485,0.32472,5,1D2U,1.0,True,0.716,55,True,left,0.44962,2.0896,2.6309,0.5414,0.3225,1.4893,1.1668,A,0.22
495,0.49958,0.1,1,0.34138,0.28309,0.51623,495,2.2481,0.21,0.10824,0.60782,5,2D1U,1.0,True,1.479,66,True,left,-0.44962,0.2297,1.0553,0.8256,1.6886,1.9558,0.2671,A,0.22
496,0.49958,1.2,2,0.54953,0.41631,0.87426,496,2.9475,0.21,0.10824,0.60782,5,2D1U,1.0,False,3.684,66,True,left,0.44962,2.1447,2.9641,0.8194,0.2193,1.3699,1.1506,A,0.2
497,0.49958,1.2,2,0.41631,0.24979,0.73271,497,2.22311,-0.35,-0.17485,0.32472,5,1D2U,2.0,False,0.412,55,True,right,-0.44962,1.4262,1.9511,0.5249,0.5429,0.793,0.2501,A,0.2
498,0.49958,0.1,2,0.65778,0.36636,1.08242,498,3.23061,0.25,0.12489,0.62447,5,2D1U,2.0,True,0.232,66,False,right,0.44962,2.4633,3.3051,0.8418,0.3216,1.4886,1.167,A,0.22
499,0.49958,0.1,2,0.38301,0.3497,0.41631,499,1.95667,-0.39,-0.1915,0.30807,5,1D2U,1.0,True,0.244,55,False,left,-0.44962,1.0739,1.5989,0.525,0.499,0.7657,0.2667,A,0.22
500,0.49958,1.2,2,0.55786,0.37468,0.60782,500,2.66441,0.25,0.12489,0.62447,5,2D1U,1.0,False,0.124,66,False,left,0.44962,1.8871,2.7123,0.8251,0.2287,1.3791,1.1504,A,0.2
