,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
64,64,0.49814,0.1,2,0.28228,0.44833,0.81363,64,2.09219,-0.9,-0.44833,0.04981,5,lapse_rate,1.0,True,0.346,0,False,left,0.0,1.6017,1.6525,0.0507,0.2846,0.7851,0.5005,A
65,65,0.49814,1.2,2,0.32379,0.39021,0.82193,65,2.60693,0.14,0.06642,0.57286,5,3D1U,1.0,False,0.467,1,True,left,0.0,1.6457,2.2207,0.575,0.3208,0.8205,0.4997,A
66,66,0.49814,0.1,2,0.29058,0.31549,0.56456,66,1.71858,-0.9,-0.44833,0.04981,5,1D2U,1.0,True,0.43,5,True,left,0.0,1.3546,1.4039,0.0493,0.2876,0.7876,0.5,A
67,67,0.49814,1.2,1,0.25737,0.30719,0.64758,67,1.80161,-0.82,-0.40681,0.09133,5,1D3U,2.0,True,0.485,3,True,right,0.0,0.2598,0.3516,0.0918,1.0018,1.502,0.5002,V
68,68,0.49814,0.1,2,0.44833,0.29058,0.44833,68,2.27485,0.18,0.09133,0.58947,5,3D1U,2.0,True,1.001,2,True,right,0.0,1.4007,1.9935,0.5928,0.4518,0.9512,0.4993,A
69,69,0.49814,1.2,1,0.3487,0.42342,0.51475,69,1.83482,-0.9,-0.44833,0.04981,5,1D2U,2.0,True,1.161,5,True,right,0.0,0.3512,0.4002,0.049,0.9168,1.4167,0.5,A
70,70,0.49814,0.1,2,0.21586,0.29058,0.56456,70,2.05898,-0.02,-0.0083,0.48984,5,2D1U,2.0,False,0.441,2,False,right,0.0,1.2792,1.7717,0.4925,0.213,0.7131,0.5001,A
71,71,0.49814,0.1,2,0.37361,0.3487,0.48154,71,1.7518,-0.9,-0.44833,0.04981,5,lapse_rate,1.0,True,0.301,0,False,left,0.0,1.357,1.4063,0.0494,0.3729,0.8734,0.5005,V
72,72,0.49814,1.2,2,0.29888,0.20756,0.53965,72,2.1337,0.18,0.09133,0.58947,5,3D1U,1.0,False,0.617,2,True,left,0.0,1.3392,1.9312,0.592,0.2973,0.7975,0.5002,V
73,73,0.49814,0.1,2,0.3653,0.21586,0.56456,73,2.11709,-0.06,-0.03321,0.47323,5,2D1U,1.0,True,0.63,3,True,left,0.0,1.4308,1.9057,0.4749,0.3639,0.8638,0.4999,V
74,74,0.49814,1.2,2,0.22416,0.24077,0.7223,74,2.63184,0.9,0.44833,0.94647,5,lapse_rate,2.0,True,0.342,0,False,right,0.0,1.4531,2.4025,0.9494,0.2283,0.7279,0.4997,A
75,75,0.49814,1.2,2,0.25737,0.30719,0.40681,75,1.56084,-0.82,-0.40681,0.09133,5,1D3U,1.0,True,0.975,3,True,left,0.0,1.1696,1.2615,0.0919,0.2609,0.7612,0.5003,V
76,76,0.49814,0.1,1,0.41512,0.3404,0.77212,76,2.0922,-0.86,-0.43172,0.06642,5,1D2U,2.0,True,0.334,6,True,right,0.0,0.4138,0.4804,0.0666,1.2548,1.7551,0.5002,V
77,77,0.49814,0.1,2,0.3653,0.3404,0.59777,77,2.74808,0.9,0.44833,0.94647,5,lapse_rate,2.0,True,0.259,0,False,right,0.0,1.4694,2.4194,0.9501,0.3691,0.8687,0.4996,V
78,78,0.49814,1.2,2,0.32379,0.37361,0.81363,78,2.1171,-0.78,-0.39021,0.10793,5,1D3U,1.0,True,0.588,3,False,left,0.0,1.6396,1.7483,0.1087,0.3229,0.8238,0.5009,A
79,79,0.49814,0.1,2,0.30719,0.26567,0.48984,79,1.62726,-0.86,-0.43172,0.06642,5,1D2U,1.0,True,0.597,6,True,left,0.0,1.2953,1.3621,0.0668,0.3035,0.8034,0.4999,A
