,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetAudio,recordedOffsetAudio,recordedDurAudio,modalityPostCue
104,0.5002,0.0,1,0.5919,0.4752,0.8254,104,3.093,0.4044,0.2001,0.7003,5,2D1U,1.0,True,2.058,5,True,left,0.0,0.5820022000000336,1.2903503,0.7083480999999665,2.098746500000061,2.598823300000049,0.500076799999988,
105,0.5002,0.0,1,0.4502,0.5919,0.6586,105,2.376,-0.652,-0.3252,0.1751,5,2U1D,2.0,True,0.208,6,True,right,0.0,0.4416074999999182,0.6168545999998969,0.17524709999997867,1.266734499999984,1.7667821000000004,0.5000476000000162,
106,0.5002,0.0,2,0.6336,0.4335,0.5419,106,2.6761,0.1384,0.0667,0.5669,5,1D1U,2.0,True,2.708,7,True,right,0.0,1.6646716000000197,2.2398641000002044,0.5751925000001847,0.6227793000000474,1.123018600000023,0.5002392999999756,
107,0.5002,0.0,1,0.4836,0.4002,0.0584,107,1.9676,0.0487,0.025,0.5252,5,1D1U,1.0,True,1.991,8,True,left,0.0,0.4721804000000702,1.005107100000032,0.5329266999999618,1.046794200000022,1.546824000000015,0.500029799999993,
108,0.5002,0.0,2,0.5503,0.642,0.4335,108,2.3428,-0.5622,-0.2835,0.2168,5,2U1D,1.0,True,0.366,6,False,left,0.0,1.4702643000000535,1.6869587999999567,0.2166944999999032,0.537095700000009,1.0369881999999961,0.4998924999999872,
109,0.5002,0.0,1,0.4169,0.4335,0.5252,109,2.226,-0.2942,-0.1501,0.3502,5,1U1D,2.0,True,0.534,12,True,right,0.0,0.40719910000007076,0.7654562000000169,0.35825709999994615,1.2738105000000814,1.773676099999875,0.49986559999979363,
110,0.5002,0.0,1,0.4335,0.5669,0.7003,110,2.8595,0.3147,0.1584,0.6586,5,2D1U,1.0,True,0.342,6,True,left,0.0,0.4220751000000291,1.0803768999999193,0.6583017999998901,1.7800525000000107,2.2801418999999896,0.5000893999999789,
111,0.5002,0.0,1,0.4335,0.4419,0.2751,111,2.1343,-0.0411,-0.0167,0.4836,5,1D1U,2.0,True,1.141,8,False,right,0.0,0.42230930000005173,0.905941200000143,0.48363190000009126,1.1724754000001667,1.672546800000191,0.5000714000000244,
112,0.5002,0.0,1,0.5753,0.4252,0.8838,112,2.818,-0.1309,-0.0667,0.4335,5,1D1U,2.0,True,0.933,8,False,right,0.0,0.563669400000208,1.0051917000000685,0.4415222999998605,1.8721464000000196,2.3721635000001697,0.5000171000001501,
113,0.5002,0.0,2,0.4919,0.5669,0.8337,113,3.0513,0.3147,0.1584,0.6586,5,2D1U,2.0,True,1.791,6,True,right,0.0,1.8172182999999222,2.483584800000017,0.6663665000000947,0.4838281999998344,0.9838247000000138,0.49999650000017937,
114,0.5002,0.0,2,0.5503,0.4502,0.0834,114,1.9843,-0.2044,-0.1,0.4002,5,1U1D,1.0,True,1.075,12,False,left,0.0,1.11933450000015,1.5279135000000679,0.40857899999991787,0.5360233999999764,1.0360415000000103,0.5000181000000339,
115,0.5002,0.0,2,0.5002,0.617,0.7837,115,2.6179,-0.5622,-0.2835,0.2168,5,2U1D,1.0,True,0.358,6,False,left,0.0,1.771485800000164,1.9879186000000573,0.21643279999989318,0.4882913000001281,0.9880112000000736,0.4997198999999455,
116,0.5002,0.0,1,0.6086,0.4335,0.3919,116,2.201,-0.4724,-0.2334,0.2668,5,2U1D,2.0,True,0.608,6,False,right,0.0,0.5980225000000701,0.8729936000001999,0.2749711000001298,1.247925000000123,1.7479799000000185,0.5000548999998955,
117,0.5002,0.0,1,0.5836,0.5002,0.3418,117,2.3677,-0.1147,-0.0584,0.4419,5,1U1D,2.0,True,1.059,12,False,right,0.0,0.5718036999999185,1.0220175999997991,0.4502138999998806,1.346860099999958,1.8467419999999493,0.4998818999999912,
118,0.5002,0.0,2,0.5252,0.5669,0.0667,118,1.9258,-0.4724,-0.2334,0.2668,5,2U1D,2.0,False,0.858,6,False,right,0.0,1.0818577000000005,1.3485233000001244,0.26666560000012396,0.5148661000000629,1.0149482000001626,0.5000821000000997,
119,0.5002,0.0,1,0.4836,0.4669,0.717,119,2.7763,0.2249,0.1084,0.6086,5,2D1U,2.0,False,0.241,6,False,right,0.0,0.47202659999993557,1.0804089999999178,0.6083823999999822,1.7886938999999984,2.28868969999985,0.49999579999985144,
120,0.5002,0.0,2,0.4669,0.617,0.6253,120,2.868,0.3147,0.1584,0.6586,5,2D1U,2.0,True,0.533,7,True,right,0.0,1.5773082999999133,2.2361051999998836,0.6587968999999703,0.4523077999999714,0.9524648999999954,0.500157100000024,
