,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
13,0.5,0.1,1,0.4333,0.3667,0.75,13,2.15,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.267,0,False,right
14,0.5,0.1,2,0.2333,0.3333,0.8667,14,2.0666,-0.75,-0.3667,0.1333,5,3U1D,1.0,True,0.467,0,False,left
15,0.5,0.1,1,0.35,0.3,0.8,15,2.1667,-0.55,-0.2667,0.2167,5,2U1D,2.0,True,0.343,0,False,right
16,0.5,0.1,2,0.3167,0.25,0.4333,16,2.2667,0.55,0.2667,0.7667,5,2D1U,1.0,False,0.701,0,False,left
17,0.5,0.1,2,0.2167,0.4167,0.5833,17,2.5167,0.61,0.3,0.8,5,2D1U,2.0,True,0.3,1,True,right
18,0.5,0.1,1,0.2833,0.2333,0.6,18,1.7499,-0.75,-0.3667,0.1333,5,3U1D,2.0,True,0.415,0,False,right
19,0.5,0.1,2,0.3833,0.35,0.6,19,2.05,-0.55,-0.2667,0.2167,5,2U1D,1.0,True,0.417,0,False,left
20,0.5,0.1,1,0.4167,0.3333,0.8667,20,2.8834,0.55,0.2667,0.7667,5,3D1U,1.0,True,0.474,0,False,left
21,0.5,0.1,1,0.4167,0.3,0.55,21,1.8667,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.317,0,False,right
22,0.5,0.1,2,0.3333,0.45,0.4833,22,2.6666,0.8,0.4,0.9,5,lapse_rate,1.0,False,0.899,0,False,left
23,0.5,0.1,1,0.2833,0.2833,0.8167,23,2.15,-0.45,-0.2333,0.2667,5,2U1D,2.0,True,0.4,0,False,right
24,0.5,0.1,1,0.4333,0.2167,0.8833,24,2.8333,0.61,0.3,0.8,5,2D1U,1.0,True,0.591,1,True,left
25,0.5,0.1,2,0.2167,0.4333,0.6667,25,1.95,-0.75,-0.3667,0.1333,5,3U1D,1.0,True,0.716,0,False,left
26,0.5,0.1,1,0.3667,0.25,0.8333,26,2.7167,0.55,0.2667,0.7667,5,3D1U,1.0,True,0.509,0,False,left
27,0.5,0.1,2,0.2833,0.2333,0.4667,27,1.75,-0.45,-0.2333,0.2667,5,2U1D,1.0,True,0.484,0,False,left
28,0.5,0.1,1,0.4,0.4333,0.7833,28,3.0166,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.425,0,False,left
29,0.5,0.1,1,0.3167,0.4,0.4667,29,2.4501,0.55,0.2667,0.7667,5,3D1U,1.0,True,0.384,0,False,left
30,0.5,0.1,2,0.3167,0.2833,0.5333,30,2.4166,0.574,0.2833,0.7833,5,2D1U,2.0,True,0.94,2,True,right
31,0.5,0.1,2,0.2667,0.2667,0.8,31,1.9834,-0.69,-0.35,0.15,5,3U1D,1.0,True,0.791,1,True,left
32,0.5,0.1,1,0.2667,0.3333,0.45,32,1.7,-0.69,-0.35,0.15,5,3U1D,2.0,True,0.401,1,True,right
33,0.5,0.1,1,0.4333,0.3833,0.65,33,2.8666,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.55,0,False,left
34,0.5,0.1,1,0.3333,0.4333,0.4833,34,2.4832,0.45,0.2333,0.7333,5,3D1U,1.0,True,0.442,0,False,left
35,0.5,0.1,1,0.2167,0.2667,0.5167,35,1.8334,-0.35,-0.1667,0.3333,5,2U1D,1.0,False,0.767,0,False,left
