,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
72,0.49991,0.1,1,0.40826,0.44158,0.59156,72,2.89113,0.9,0.44992,0.94982,5,lapse_rate,2.0,False,1.167,0,False,right,0.0,0.419,1.369,0.95,1.961,2.461,0.5,V
73,0.49991,0.1,1,0.25829,0.42492,0.65821,73,2.57453,0.47,0.23329,0.7332,5,3D1U,1.0,True,1.083,1,False,left,0.0,0.2673,1.0,0.7328,1.6581,2.1582,0.5001,V
74,0.49991,1.2,1,0.37493,0.33327,0.56656,74,2.59952,0.654,0.32494,0.82485,5,2D1U,2.0,False,0.717,3,False,right,0.0,0.3794,1.2036,0.8242,1.7705,2.2705,0.4999,V
75,0.49991,0.1,1,0.40826,0.3416,0.79985,75,2.3329,-0.438,-0.21663,0.28328,5,3U1D,2.0,True,1.383,2,False,right,0.0,0.4117,0.6951,0.2834,1.4958,1.996,0.5001,A
76,0.49991,1.2,1,0.41659,0.43325,0.76652,76,2.44954,-0.338,-0.16664,0.33327,5,2U1D,2.0,True,0.451,4,False,right,0.0,0.4253,0.7572,0.3319,1.5236,2.0248,0.5012,V
77,0.49991,0.1,2,0.43325,0.22496,0.60822,77,2.04962,-0.438,-0.21663,0.28328,5,3U1D,1.0,True,0.992,2,False,left,0.0,1.5476,1.8298,0.2822,0.4385,0.939,0.5005,A
78,0.49991,1.2,1,0.20829,0.38326,0.40826,78,1.84965,-0.302,-0.14997,0.34993,5,2U1D,2.0,True,0.374,4,False,right,0.0,0.2181,0.5679,0.3498,0.9771,1.4764,0.4993,V
79,0.49991,0.1,1,0.23329,0.39993,0.77486,79,2.64119,0.47,0.23329,0.7332,5,3D1U,1.0,True,1.218,1,False,left,0.0,0.2386,0.9723,0.7338,1.7476,2.2473,0.4997,V
80,0.49991,1.2,1,0.22496,0.22496,0.57489,80,2.36623,0.69,0.3416,0.84151,5,2D1U,2.0,False,0.451,3,False,right,0.0,0.2272,1.0684,0.8412,1.6448,2.1437,0.4988,A
81,0.49991,0.1,1,0.29161,0.3666,0.62488,81,1.83299,-0.9,-0.44992,0.04999,5,lapse_rate,2.0,True,2.176,0,False,right,0.0,0.3016,0.3517,0.0501,0.9769,1.4765,0.4996,A
