sigma_a,sigma_v,conflict_max,p_c,lambda,lognorm__vs__fusionOnlyLogNorm,lognorm__vs__switchingFree,lognorm__vs__probabilityMatchingLogNorm,lognorm__vs__selection,fusionOnlyLogNorm__vs__switchingFree,fusionOnlyLogNorm__vs__probabilityMatchingLogNorm,fusionOnlyLogNorm__vs__selection,switchingFree__vs__probabilityMatchingLogNorm,switchingFree__vs__selection,probabilityMatchingLogNorm__vs__selection,mean_pairwise
0.15,0.15,0.6,0.3,0.05,0.22323020833333335,0.06327395833333332,0.1718543402777778,0.1282565972222222,0.1768253472222222,0.0523720486111111,0.24835902777777777,0.1309119791666667,0.08281493055555554,0.20423350694444442,0.14821319444444442
0.15,0.15,0.6,0.5,0.05,0.19664010416666666,0.10701354166666667,0.12309427083333335,0.13771041666666667,0.12463802083333334,0.07945694444444446,0.14954253472222223,0.09489774305555555,0.053543055555555545,0.1300015625,0.11965381944444445
0.15,0.15,0.6,0.7,0.05,0.16955520833333335,0.1521154513888889,0.11969340277777779,0.13939930555555552,0.09230503472222223,0.10672326388888889,0.1042361111111111,0.1262939236111111,0.0573265625,0.12471388888888889,0.11923621527777777
0.2,0.2,0.083,0.3,0.05,0.03542561728395061,0.03591234567901235,0.015346604938271604,0.12677222222222223,0.06120462962962964,0.02971388888888889,0.15218765432098766,0.03417067901234568,0.09318796296296297,0.12635000000000002,0.07102716049382715
0.2,0.2,0.083,0.5,0.05,0.025515123456790124,0.045444598765432095,0.022201851851851855,0.10238009259259258,0.05614675925925926,0.043787962962962966,0.11585015432098765,0.03136466049382716,0.06040123456790124,0.0836263888888889,0.058671882716049374
0.2,0.2,0.083,0.7,0.05,0.017003240740740742,0.05499151234567902,0.04294645061728396,0.1082296296296296,0.05794413580246913,0.05468364197530864,0.11518749999999998,0.04759382716049383,0.06101404320987654,0.07378626543209878,0.06333802469135802
0.2,0.2,0.167,0.3,0.05,0.0669662037037037,0.03809382716049383,0.03059645061728395,0.12283148148148147,0.0747949074074074,0.04190555555555556,0.16120385802469137,0.04098780864197531,0.08928240740740741,0.12895077160493826,0.07956132716049383
0.2,0.2,0.167,0.5,0.05,0.0482125,0.0549358024691358,0.021460030864197528,0.09856543209876542,0.06472608024691358,0.0591287037037037,0.11470663580246915,0.04450632716049382,0.05143487654320988,0.08489891975308642,0.06425753086419753
0.2,0.2,0.167,0.7,0.05,0.030590586419753082,0.07064012345679012,0.04861712962962963,0.10355879629629629,0.06668472222222223,0.07696759259259259,0.11473302469135804,0.08625941358024691,0.06742947530864199,0.08119567901234569,0.07466765432098767
0.2,0.2,0.25,0.3,0.05,0.1025003086419753,0.04406358024691358,0.05441975308641975,0.12241805555555557,0.09567438271604937,0.05148765432098766,0.17935354938271603,0.056378395061728384,0.08682824074074075,0.14247947530864197,0.09356033950617285
0.2,0.2,0.25,0.5,0.05,0.07742206790123457,0.06516882716049383,0.029320987654320986,0.09514660493827161,0.07455447530864197,0.07606743827160495,0.11590293209876543,0.05704691358024691,0.0447496913580247,0.0868429012345679,0.07222228395061729
0.2,0.2,0.25,0.7,0.05,0.0525344135802469,0.08673734567901234,0.0490070987654321,0.09325540123456791,0.07142885802469136,0.099383487654321,0.11075123456790124,0.11211172839506173,0.07160478395061728,0.0876726851851852,0.08344870370370372
0.2,0.2,0.35,0.3,0.05,0.145954012345679,0.0464591049382716,0.08842037037037037,0.11873533950617284,0.1299007716049383,0.059339814814814804,0.20740787037037034,0.08044212962962964,0.08246234567901235,0.16097515432098763,0.11200969135802467
0.2,0.2,0.35,0.5,0.05,0.11424629629629632,0.07327608024691357,0.052258796296296296,0.09896126543209878,0.09280385802469135,0.08752608024691358,0.12205447530864195,0.06809506172839506,0.04014043209876542,0.09215586419753087,0.08415182098765431
0.2,0.2,0.35,0.7,0.05,0.08511296296296297,0.09951836419753086,0.05993503086419754,0.08678425925925926,0.07760972222222222,0.11944490740740739,0.1118537037037037,0.12098425925925926,0.07050231481481482,0.0899304012345679,0.09216759259259259
0.2,0.2,0.45,0.3,0.05,0.1711641975308642,0.041855709876543204,0.09938641975308642,0.11234336419753087,0.15889922839506174,0.07311481481481481,0.2313983024691358,0.09432854938271605,0.08204012345679011,0.1711554012345679,0.1235686111111111
0.2,0.2,0.45,0.5,0.05,0.13879969135802472,0.06777839506172839,0.05877685185185186,0.09767993827160494,0.11121450617283951,0.10620061728395061,0.12511851851851852,0.07144938271604938,0.04271481481481482,0.09188024691358022,0.0911612962962963
0.2,0.2,0.45,0.7,0.05,0.10794814814814815,0.10019274691358024,0.06880462962962962,0.08837052469135802,0.0842655864197531,0.13728086419753086,0.11138163580246915,0.12147391975308641,0.0616679012345679,0.09329645061728395,0.09746824074074074
0.2,0.2,0.6,0.3,0.05,0.17854722222222222,0.040117708333333335,0.10017552083333331,0.10957986111111112,0.16918576388888887,0.07981649305555555,0.2375923611111111,0.09645468749999998,0.0811326388888889,0.1687470486111111,0.12613493055555555
0.2,0.2,0.6,0.5,0.05,0.14473975694444444,0.0658798611111111,0.054921874999999995,0.10283090277777777,0.1167609375,0.11721614583333333,0.12024427083333333,0.07378333333333333,0.048370833333333335,0.09973680555555556,0.09444847222222222
0.2,0.2,0.6,0.7,0.05,0.11038802083333334,0.09436996527777779,0.07638263888888888,0.08963645833333334,0.08194409722222222,0.15240572916666667,0.10089461805555557,0.12709878472222222,0.058032465277777785,0.10902569444444445,0.10001784722222225
0.3,0.3,0.083,0.3,0.05,0.0319628086419753,0.03407391975308642,0.012373456790123458,0.10821790123456788,0.05784444444444444,0.03262546296296296,0.13226404320987653,0.0278695987654321,0.07588564814814815,0.10252376543209876,0.061564104938271594
0.3,0.3,0.083,0.5,0.05,0.021826543209876544,0.04753518518518519,0.03020941358024691,0.09582391975308642,0.05746913580246913,0.04651188271604938,0.10796280864197531,0.027857870370370377,0.052118055555555556,0.07002438271604938,0.05573391975308641
0.3,0.3,0.083,0.7,0.05,0.01465756172839506,0.055360956790123456,0.047485339506172834,0.10296944444444443,0.058905864197530855,0.057269753086419746,0.1094875,0.04113148148148147,0.054880092592592584,0.06372916666666666,0.06058771604938271
0.3,0.3,0.167,0.3,0.05,0.05574212962962964,0.036208487654320984,0.01916712962962963,0.1077429012345679,0.0699246913580247,0.04464413580246913,0.1411307098765432,0.03325586419753087,0.07505879629629629,0.10646743827160493,0.06893422839506172
0.3,0.3,0.167,0.5,0.05,0.03597978395061729,0.04933256172839506,0.031059722222222218,0.09391512345679015,0.0596858024691358,0.0622895061728395,0.10759336419753089,0.040380864197530855,0.04895725308641976,0.07197422839506173,0.06011682098765433
0.3,0.3,0.167,0.7,0.05,0.022351388888888886,0.059275308641975305,0.061043364197530856,0.10175555555555556,0.05933101851851852,0.07972962962962962,0.10907114197530865,0.07826064814814815,0.06234228395061729,0.06891311728395062,0.07020734567901235
0.3,0.3,0.25,0.3,0.05,0.08198734567901236,0.038099691358024684,0.0282449074074074,0.10613024691358025,0.08757006172839507,0.05835169753086421,0.15309660493827162,0.0393341049382716,0.07334351851851852,0.1113699074074074,0.07775280864197531
0.3,0.3,0.25,0.5,0.05,0.0577945987654321,0.05382746913580246,0.0315787037037037,0.08981898148148147,0.0671949074074074,0.0842479938271605,0.10979537037037038,0.050707716049382706,0.04460015432098764,0.0741263888888889,0.06636922839506172
0.3,0.3,0.25,0.7,0.05,0.03369567901234568,0.06604845679012344,0.0747216049382716,0.09755972222222221,0.060600617283950615,0.10490462962962963,0.11047854938271606,0.1068280864197531,0.07280694444444444,0.07511157407407408,0.08027558641975309
0.3,0.3,0.35,0.3,0.05,0.11373611111111111,0.038580555555555555,0.04574953703703705,0.10476975308641975,0.11607592592592592,0.07146990740740741,0.17967901234567898,0.054252623456790126,0.0706283950617284,0.12354398148148148,0.09184858024691357
0.3,0.3,0.35,0.5,0.05,0.08087608024691358,0.05387145061728395,0.03359012345679012,0.0807324074074074,0.08067962962962963,0.10775756172839505,0.11802577160493825,0.05656898148148147,0.04270601851851852,0.07191265432098766,0.07267206790123457
0.3,0.3,0.35,0.7,0.05,0.04898070987654321,0.06901280864197533,0.09018842592592592,0.08935864197530863,0.06473487654320988,0.13736882716049384,0.11630756172839506,0.13053703703703706,0.07894675925925924,0.08211342592592592,0.09075490740740741
0.3,0.3,0.45,0.3,0.05,0.1381077160493827,0.0387945987654321,0.059014351851851846,0.10176728395061728,0.14569305555555556,0.08184953703703704,0.20410925925925927,0.07187746913580247,0.06894243827160494,0.13636898148148147,0.10465246913580248
0.3,0.3,0.45,0.5,0.05,0.09577407407407407,0.05143194444444445,0.03318842592592593,0.07379212962962962,0.09860354938271605,0.12179058641975309,0.12261157407407407,0.05956851851851852,0.037020679012345674,0.07456913580246913,0.07683506172839506
0.3,0.3,0.45,0.7,0.05,0.06132191358024692,0.0624537037037037,0.10167345679012346,0.08654969135802469,0.07245216049382716,0.16219783950617284,0.12380493827160494,0.1373570987654321,0.07519074074074074,0.08732376543209877,0.09703253086419752
